2026-05-06 19:57:21,079 - [RAG] - 文件处理: 中国心力衰竭诊断和治疗指南2024.pdf | 41段 -> 213块 | 策略: 医疗指南策略 | 耗时: 30ms
2026-05-06 19:57:21,113 - [RAG] - 文件处理: 中国肺动脉高压诊断与治疗指南（2021版）.pdf | 41段 -> 239块 | 策略: 医疗指南策略 | 耗时: 33ms
2026-05-06 19:57:21,122 - [RAG] - 文件处理: 高血压基层医防融合服务规范.pdf | 7段 -> 32块 | 策略: 医疗指南策略 | 耗时: 8ms
2026-05-06 19:57:21,156 - [RAG] - 文件处理: 中华人民共和国民法典_20200528.docx | 175段 -> 176块 | 策略: 法律条文策略 | 耗时: 34ms
2026-05-06 19:57:30,246 - [RAG] - 文件处理: 中国心力衰竭诊断和治疗指南2024.pdf | 41段 -> 213块 | 策略: 医疗指南策略 | 耗时: 29ms
2026-05-06 19:57:30,280 - [RAG] - 文件处理: 中国肺动脉高压诊断与治疗指南（2021版）.pdf | 41段 -> 239块 | 策略: 医疗指南策略 | 耗时: 30ms
2026-05-06 19:57:30,285 - [RAG] - 文件处理: 高血压基层医防融合服务规范.pdf | 7段 -> 32块 | 策略: 医疗指南策略 | 耗时: 5ms
2026-05-06 19:57:30,317 - [RAG] - 文件处理: 中华人民共和国民法典_20200528.docx | 175段 -> 176块 | 策略: 法律条文策略 | 耗时: 32ms
2026-05-06 21:24:59,806 - [RAG] - 检索: '捡到别人的失物怎么办？' | 结果数: 5 | 耗时: 6282ms | 来源: 中华人民共和国民法典_20200528.docx, 中华人民共和国民法典_20200528.docx, 中华人民共和国民法典_20200528.docx
2026-05-06 21:25:37,235 - [RAG] - 检索: '离婚需要什么条件？' | 结果数: 5 | 耗时: 10146ms | 来源: 中华人民共和国民法典_20200528.docx, 中华人民共和国民法典_20200528.docx, 中华人民共和国民法典_20200528.docx
2026-05-06 21:26:02,285 - [RAG] - 检索: '我是个老师' | 结果数: 5 | 耗时: 7792ms | 来源: 中华人民共和国民法典_20200528.docx, 中华人民共和国民法典_20200528.docx, 中国肺动脉高压诊断与治疗指南（2021版）.pdf
2026-05-06 21:26:41,269 - [RAG] - 检索: '我是什么职业' | 结果数: 5 | 耗时: 7784ms | 来源: 中国心力衰竭诊断和治疗指南2024.pdf, 中国心力衰竭诊断和治疗指南2024.pdf, 中国肺动脉高压诊断与治疗指南（2021版）.pdf
2026-05-06 21:27:15,134 - [RAG] - 检索: '你好' | 结果数: 5 | 耗时: 6588ms | 来源: 高血压基层医防融合服务规范.pdf, 高血压基层医防融合服务规范.pdf, 中国肺动脉高压诊断与治疗指南（2021版）.pdf
2026-05-06 21:35:31,470 - [RAG] - 检索: '捡到别人的失物怎么办？' | 结果数: 5 | 耗时: 1486ms | 来源: 中华人民共和国民法典_20200528.docx, 中华人民共和国民法典_20200528.docx, 中华人民共和国民法典_20200528.docx
